objectid_1,objectid,acreage,sqft,final_cat,type,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_2,shape_area,shape_length
1,7,4.02708069,175418.93301902,Neighborhood Park,NP,5,Alton Playground,Alton Park,Alton Park,Western,1680.93778101,5469398c-9490-4e55-b4d4-776bc4862a7e,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Southern,4.02708068633731,9fa62a6c-4bb5-45c8-af67-43187bc829f9,28146.015625,673.341515971604
2,50,6.7457143,293842.13973275,Neighborhood Park,NP,4,Dunbar Playground,Dunbar Park,Dunbar Park,Western,2666.55630682,5d9753a7-660a-4015-abb1-96fb651a03cf,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Western,6.74571430451881,0d9b0179-d22e-4c7a-90af-90d9ac1cda94,47180.68359375,1068.12857339807
3,44,7.22028579,314514.3911635,Neighborhood Park,NP,13,Curto Park,Frank Curto Park,Frank Curto Park,State,4947.79134007,789bcaf2-11c5-4ada-82e8-e03ad3899319,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Schenley,7.22028579487693,9968e363-6b4c-47dd-a173-954530a56863,50518.4140625,1980.85650192447
4,38,4.22351288,183975.48527285,Neighborhood Park,NP,1,Cowley Playground,Cowley Park,Cowley Park,Northern,1706.73971546,d8f9288e-6a5e-4640-8245-97a8c6a95248,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,4.22351288285124,2b0f7319-aba6-4102-a94a-712c43aff0ee,29557.37890625,683.922877916081
5,121,5.19255903,226186.96645814,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.9491653,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Western,5.19255902683011,f91293db-aca7-45b0-9288-587c9d04b93c,36340.35546875,838.911194598375
6,58,0.85385041,37193.57508534,Regional Park,RP,6,Eileen McCoy Parklet,Emerald View Park - Eileen McCoy Park,Emerald View Regional Park,Western,780.26813719,85e78b3f-6464-4be8-a756-695779735770,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Western,0.85385041001108,7830d59d-958d-4e0f-81b5-c5bd8c5c6402,5971.8984375,312.666485129927
7,172,6.62192106,288449.7276183,Neighborhood Park,NP,1,Spring Garden Field,Spring Garden Park,Spring Garden Park,Northern,1231.0089363,cafe92f4-0b45-42f4-9411-15363c7d50d1,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,6.62192106108062,3d303461-d815-407e-91fd-a13cb6b57b69,46351.18359375,1403.75010434426
8,190,22.54139275,981899.14068986,Community Park,CP,13,West Penn Park,West Penn Park,West Penn Park,State,4544.06311033,a0481df3-0fb0-4913-8d63-74cf6358656b,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Schenley,22.541392752484,cfd6faa6-ae3a-4cc2-b0cb-fe4c11763c64,157734.1796875,1820.3361825004
9,22,1.68346994,73331.65745964,Neighborhood Park,NP,9,Blair St Parklet,Blair Street Park,Blair St. Park,Schenley,1179.30834272,284d433b-7f9f-4708-83ff-c76d15c28685,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Schenley,1.68346994460849,a0cfef42-86e1-46bd-8dd6-5348cee2e341,11762.42578125,472.659605763048
10,29,0.09355207,4075.11198378,Beautification Site,BTF,5,Brookline Monument,Brookline Monument,Brookline Monument,Southern,301.24993005,db8866c6-e4e2-40cc-9b91-b6a61dbb8579,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,4th Division,9.35520726418919E-02,637a1d4d-5d36-4ce4-9b4c-de19f5788341,653.43359375,120.556638587204
11,20,0.24159906,10524.01282457,Beautification Site,BTF,5,Beechview Monument,Beechview Monument,Beechview Monument,Western,444.08349025,de2ca330-1b55-483d-9403-4637822ca5e3,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,5th Division,0.241599056950036,045b2b79-f8ec-4d8d-bd3b-ea63bef0ff72,1688.03125,177.947133385568
12,192,0.01301447,566.90806804,Beautification Site,BTF,4,Westwood Island,Westwood Island,Westwood Island,Western,93.1245652,82bd048c-8ac4-45af-991b-72228f39bd32,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,5th Division,1.30144705159557E-02,4c46fbbb-2312-4dd9-8c9c-20682b8ef8f7,91.03125,37.3102791515177
13,12,1.48849278,64838.48626932,Neighborhood Park,NP,7,Armstrong Playground,Armstrong Park,Armstrong Park,Southern,1015.27727183,8b1b9560-5b36-4925-93a2-205b276edb4f,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Southern,1.48849278292105,89e2dfc1-9167-4c4d-92c8-33fd9bcebc57,10407.5078125,403.618578648289
14,166,0.14885629,6484.15395273,Beautification Site,BTF,4,Sheraden Monument,Sheraden Monument,Sheraden Monument,Western,369.47866131,8418b4f5-e453-45fb-9b9f-71b56a782739,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,5th Division,0.148856287636088,64faf0c9-3616-450f-9964-41ac4789f784,1041.58984375,148.113103310273
15,94,0.59325563,25842.11185087,Neighborhood Park,NP,3,Jefferson Playground,Jefferson Park,Jefferson Park,Northern,679.93778871,fbfc5a30-c277-428b-b9a3-d8fd5eb06a64,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,0.59325562946793,d88a8314-e07e-47b5-ab19-e7eaf8902b26,4151.84375,272.710547317956
